_id,alta,cantidad,cantidadRestock,ean,familia,iva,margen,nombre,precioCompra,precioVenta,proveedor
62c4df316f6dede80a8a7092,true,0,20,8410261152011,BEBIDAS,21,20,DON SIMON TINTO DE VERANO LIMON 1.5 L,0.8,1.43,456007
62c4df316f6dede80a8a7093,true,0,20,8410261152004,BEBIDAS,21,20,DON SIMON TINTO DE VERANO CLASICO 1.5 L,0.95,1.43,456001
62c4df316f6dede80a8a7094,true,0,20,8436532895227,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,TOCIRIZOS BBQ,0.64,1.25,80018
62c4df316f6dede80a8a7095,true,0,20,8413164009079,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,GREFUTUBO,0.66,1,107147
62c4df316f6dede80a8a7096,true,0,20,8413164016916,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,PIPAS MAXI-TIJUANA,1.05,1.65,111282
62c4df316f6dede80a8a7097,true,0,20,8436532895210,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,TOCIRIZOS SAL,0.66,1.25,80017
62c4df316f6dede80a8a7098,true,0,20,8413164016879,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,GREFUSA PIPAS MAXI-SAL,1.05,1.5,111261
62c4df316f6dede80a8a7099,true,0,20,8413164018538,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,PIPONAZO ORIGINAL 160 GR GREFUSA MAXI AH,1.05,1.65,111280
62c4df316f6dede80a8a709a,true,0,20,8413164016992,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,PIPONAZO ORIGINAL 95 GR GREFUSA,0.7,1.1,107385
62c4df316f6dede80a8a709b,true,0,20,8413164012932,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,MISTER CORN 5 MIX CLASSIC GREFUSA,0.7,1.2,110089
62c4df316f6dede80a8a709c,true,0,20,8413164002315,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,MISTER CORN ORIGINAL,0.7,1,110088
62c4df316f6dede80a8a70a0,true,0,20,8413164015599,GENERICA,10,20,MIX BARBACOA,1.14,1.5,
62c4df316f6dede80a8a70a1,true,0,20,8413164015605,GENERICA,10,20,MIX PICANTE,1.14,1.5,
62c4df316f6dede80a8a70a2,true,0,20,8435450722585,GENERICA,10,20,CACAHUETE TOSTADO SAL,0.91,1.2,
62c4df316f6dede80a8a70a5,true,0,20,8410564010537,GENERICA,10,20,COCTELEO CHILI,1.78,2.35,
