NOMBRE,FAMILIA,PRECIO_COMPRA,PRECIO_VENTA,IVA,MARGEN,EAN,ALTA,CANTIDAD,CANTIDAD_RESTOCK,PROVEEDOR,,,,,,,,,,,,,,
FANTA DE LIMON ZERO,BEBIDAS,0.32,0.57,21,20,5449000120991,1,0,20,310700,,,,,,,,,,,,,,0
NESTEA LIMON TE NEGRO,BEBIDAS,0.48,0.71,21,20,5449000012913,1,0,20,500916,,,,,,,,,,,,,,0
PEPSI,BEBIDAS,0.33,0.8,21,20,3168930159711,1,0,20,,,,,,,,,,,,,,,0
MONSTER ENERGY,BEBIDAS,0.83,1.25,21,20,5060166690380,1,0,20,690380,,,,,,,,,,,,,,0
RED BULL SUGARFREE,BEBIDAS,0.8,1.25,21,20,90162800,1,0,20,500900,,,,,,,,,,,,,,0
TONICA SCHWEPPS 33 CL,BEBIDAS,0.5,0.65,21,20,8414100317357,1,0,20,500551,,,,,,,,,,,,,,0
COCA-COLA ZERO 33 CL,GENERICA,0.39,0.57,21,20,5000112554359,1,0,20,,,,,,,,,,,,,,,0
COCA-COLA SIN CAFEINA 33 CL.,BEBIDAS,0.45,0.65,21,20,5449000000774,1,0,20,500520,,,,,,,,,,,,,,0
COCACOLA LIGHT 33 CL,BEBIDAS,0.45,0.65,21,20,5449000050205,1,0,20,500519,,,,,,,,,,,,,,0
TRINA DE NARANJA,BEBIDAS,0.34,0.57,21,20,8411800318950,1,0,20,500541,,,,,,,,,,,,,,0
SCHWEPPES LIMON,BEBIDAS,0.37,0.52,21,20,8414100301752,1,0,20,500552,,,,,,,,,,,,,,0
COCACOLA,GENERICA,0.36,0.52,21,20,9004380126703,1,0,20,,,,,,,,,,,,,,,0
FANTA DE NARANJA,BEBIDAS,0.35,0.52,21,20,5449000011527,1,0,20,500515,,,,,,,,,,,,,,0
COCACOLA ZERO-ZERO,BEBIDAS,0.47,0.65,21,20,5449000169327,1,0,20,1854,,,,,,,,,,,,,,0
SPRITE,BEBIDAS,0.3,0.48,21,20,5449000205520,1,0,20,500516,,,,,,,,,,,,,,0
AQUARIUS LIMON LATA,BEBIDAS,0.53,0.75,21,20,5449000058560,1,0,20,500513,,,,,,,,,,,,,,0
FANTA LIMON BOTE,BEBIDAS,0.35,0.52,21,20,5449000006004,1,0,20,500516,,,,,,,,,,,,,,0
AQUARIOS NARANJA BOTE,BEBIDAS,0.53,0.75,21,20,5449000033819,1,0,20,512052,,,,,,,,,,,,,,0
ENJOY TROPICAL SIN GAS,BEBIDAS,0.55,1,21,20,8429359422004,1,0,20,101477,,,,,,,,,,,,,,0
AQUARIUS NARANJA BOTELLA 1.5,BEBIDAS,1.14,1.69,21,20,5449000133847,1,0,20,165220,,,,,,,,,,,,,,0
ENJOY FRESA BOTELLA 1.5,BEBIDAS,0.55,1,21,20,8429359322106,1,0,20,101480,,,,,,,,,,,,,,0
ENJOY NARANJA BOTELLA 1.5,BEBIDAS,0.55,1,21,20,8429359322007,1,0,20,101474,,,,,,,,,,,,,,0
ENJOY MANZANA BOTELLA 1.5,BEBIDAS,0.55,1,10,20,8429359001520,1,0,20,101482,,,,,,,,,,,,,,0
AQUARIUS LIMON BOTELLA 1.5,BEBIDAS,1.14,1.69,21,20,5449000164957,1,0,20,495716,,,,,,,,,,,,,,0
ALTEZA SPORT ACTIVE LIMON,BEBIDAS,0.32,0.57,21,20,8480024834737,1,0,20,101606,,,,,,,,,,,,,,0
ALTEZA SPORT ACTVE NARANJA,BEBIDAS,0.32,0.57,21,20,8480024834720,1,0,20,101608,,,,,,,,,,,,,,0
CRIK CROK PLUS SOUR CRAM & ONION,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.65,1,10,20,8002085008386,1,0,20,21652,,,,,,,,,,,,,,0
CRIK CROK ORIGINAL 90 GR.,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.66,1,10,20,8002085008348,1,0,20,21650,,,,,,,,,,,,,,0
COCACOLA 2 L,BEBIDAS,1.05,1.65,21,20,5449000009067,1,0,20,1956,,,,,,,,,,,,,,0
COLA SABROSA 1.25 L,BEBIDAS,0.27,0.5,21,20,8437007210972,1,0,20,1521,,,,,,,,,,,,,,0
LA FLOR DEL JUCAR GASEOS 1L,BEBIDAS,0.32,0.45,21,20,8437007210057,1,0,20,1516,,,,,,,,,,,,,,0
SABROSA FRESA 1.25,BEBIDAS,0.27,0.5,21,20,8437007210477,1,0,20,1517,,,,,,,,,,,,,,0
GASEOSA LA CASERA 1.5 L,BEBIDAS,0.6,0.93,21,20,8410283008006,1,0,20,500579,,,,,,,,,,,,,,0
FANTA LIMON 1.25 L,GENERICA,0.86,1.25,21,20,5449000041791,1,0,20,,,,,,,,,,,,,,,0
FANTA NARANJA 1.25 L,GENERICA,0.86,1.25,21,20,5449000028938,1,0,20,,,,,,,,,,,,,,,0
SABROSA LIMON 1.25,BEBIDAS,0.27,0.5,21,20,8437007210378,1,0,20,1520,,,,,,,,,,,,,,0
FANTA LIMON 2 L,BEBIDAS,0.88,1.36,21,20,5449000006011,1,0,20,1961,,,,,,,,,,,,,,0
COCACOLA ZERO 2 L,BEBIDAS,1.1,1.65,21,20,5449000131843,1,0,20,1957,,,,,,,,,,,,,,0
COCACOLA ZERO ZERO 2 L,BEBIDAS,1.1,1.65,21,20,5449000177551,1,0,20,1958,,,,,,,,,,,,,,0
MONSTER ENERGY ULTRA,BEBIDAS,0.83,1.42,21,20,5060337501316,1,0,20,,,,,,,,,,,,,,,0
COCACOLA 1.25,GENERICA,0.93,1.35,21,20,5449000028921,1,0,20,,,,,,,,,,,,,,,0
COCACOLA ZERO 1.25,GENERICA,0.93,1.35,21,20,5449000133724,1,0,20,,,,,,,,,,,,,,,0
LA FLOR DEL JUCAR GASEOSA 0.5 L,BEBIDAS,0.16,0.25,21,20,8437007210064,1,0,20,200,,,,,,,,,,,,,,0
ESTRELLA GALICIA LATA 33CL,BEBIDAS,0.37,0.59,21,20,8412598000010,1,0,20,100464,,,,,,,,,,,,,,0
PACK ESTRELLA GALICIA CERVEZA S/GLUTEN,BEBIDAS,2.08,3.27,21,20,8412598004155,1,0,20,100389,,,,,,,,,,,,,,0
VICHY CATALAN AGUA C/GAS 1L,BEBIDAS,0.89,1.19,10,20,8410749001107,1,0,20,500005,,,,,,,,,,,,,,0
VICHI CATALAN PACK 6 POR 2 50 ML,BEBIDAS,3.45,4.75,10,20,8410749001114,1,0,20,500001,,,,,,,,,,,,,,0
BITTER KAS 6 X 200 ML,BEBIDAS,3.1,4.3,21,20,8410408067369,1,0,20,500591,,,,,,,,,,,,,,0
AGUA BEZOYA 33 CL,BEBIDAS,0.31,0.39,4,20,8410128160647,1,0,20,,,,,,,,,,,,,,,0
AGUA OROTONA 0.5 L,BEBIDAS,0.11,0.2,4,20,8414317001124,1,0,20,58420,,,,,,,,,,,,,,0
AGUA LANJARON 0.5,BEBIDAS,0.22,0.42,4,20,8410728700106,1,0,20,101952,,,,,,,,,,,,,,0
EMBRAU BOTE 50 CL,BEBIDAS,0.27,0.56,21,20,7611612502030,1,0,20,245031,,,,,,,,,,,,,,0
BOTE CERVEZA MAHOU 33 CL SIN,BEBIDAS,0.32,0.57,21,20,8411327722018,1,0,20,500453,,,,,,,,,,,,,,0
BUCKLER 0.0 LATA 33 CL,BEBIDAS,0.32,0.48,21,20,8413041319000,1,0,20,522113,,,,,,,,,,,,,,0
HEINEKEN 33CL SIN,BEBIDAS,0.41,0.65,21,20,8712000310011,1,0,20,102329,,,,,,,,,,,,,,0
